Report Generated 2025-05-03 17:26:50.844318

Basic Analytics

385 nodes, 50 edges
graph density 0.0006764069264069264
365 isolated node(s) (94.81% isolated)
1 nontrivial connected component(s)
nontrivial component size(s): 20 

Locations                      : Weight
Dark Brotherhood Sanctuary     : 56.0
Solitude                       : 16.0
Dawnstar Sanctuary             : 15.0
Dragon Bridge                  : 12.0
Markarth                       : 11.0
Whiterun                       : 10.0
Abandoned Shack                : 9.0
Windhelm                       : 8.0
Riften                         : 8.0
The Katariah                   : 6.0
Nightgate Inn                  : 6.0
Raldbthar                      : 5.0
Volunruud                      : 4.0
Deepwood Redoubt               : 4.0
Hag's End                      : 4.0
Half-Moon Mill                 : 2.0
Morthal                        : 2.0
Dawnstar                       : 2.0
Anga's Mill                    : 2.0
Ivarstead                      : 2.0
Palace of the Kings            : 0.0
Windhelm Stables               : 0.0
Brandy-Mug Farm                : 0.0
Darkwater Crossing             : 0.0
Hlaalu Farm                    : 0.0
Hollyfrost Farm                : 0.0
Kynesgrove                     : 0.0
Mixwater Mill                  : 0.0
Narzulbur                      : 0.0
Riverside Shack                : 0.0
Traitor's Post                 : 0.0
Broken Limb Camp               : 0.0
Cradlecrush Rock               : 0.0
Eastmarch Imperial Camp        : 0.0
Steamcrag Camp                 : 0.0
Windhelm Military Camp         : 0.0
Cragslane Cavern               : 0.0
Cragwallow Slope               : 0.0
Cronvangr Cave                 : 0.0
Eldergleam Sanctuary           : 0.0
Lost Knife Hideout             : 0.0
Snapleg Cave                   : 0.0
Stony Creek Cave               : 0.0
Uttering Hills Cave            : 0.0
Bonestrewn Crest               : 0.0
Gloombound Mine                : 0.0
Ansilvund                      : 0.0
Hillgrund's Tomb               : 0.0
Kagrenzel                      : 0.0
Mzulft                         : 0.0
Abandoned Prison               : 0.0
Fort Amol                      : 0.0
Gallows Rock                   : 0.0
Mistwatch                      : 0.0
Morvunskar                     : 0.0
Refugees' Rest                 : 0.0
The Atronach Stone             : 0.0
Sacellum of Boethiah           : 0.0
Mara's Eye Pond                : 0.0
Witchmist Grove                : 0.0
Falkreath                      : 0.0
Angi's Camp                    : 0.0
Anise's Cabin                  : 0.0
Helgen                         : 0.0
Hunter's Rest                  : 0.0
Pinewatch                      : 0.0
Falkreath Imperial Camp        : 0.0
Falkreath Stormcloak Camp      : 0.0
Knifepoint Ridge               : 0.0
Secunda's Kiss                 : 0.0
Bloated Man's Grotto           : 0.0
Bonechill Passage              : 0.0
Glenmoril Coven                : 0.0
Greywater Grotto               : 0.0
Haemar's Shame                 : 0.0
Halldir's Cairn                : 0.0
Moss Mother Cavern             : 0.0
South Brittleshin Pass         : 0.0
Southfringe Sanctum            : 0.0
Sunderstone Gorge              : 0.0
Ancient's Ascent               : 0.0
Bilegulch Mine                 : 0.0
Embershard Mine                : 0.0
Bleak Falls Barrow             : 0.0
North Shriekwind Bastion       : 0.0
Roadside Ruins                 : 0.0
South Shriekwind Bastion       : 0.0
Twilight Sepulcher             : 0.0
Bannermist Tower               : 0.0
Bloodlet Throne                : 0.0
Cracked Tusk Keep              : 0.0
Falkreath Watchtower           : 0.0
Fort Neugrad                   : 0.0
Ilinalta's Deep                : 0.0
Peak's Shade Tower             : 0.0
The Guardian Stones            : 0.0
The Lady Stone                 : 0.0
Evergreen Grove                : 0.0
Orphan Rock                    : 0.0
Blue Palace                    : 0.0
East Empire Company Warehouse  : 0.0
Ironback Hideout               : 0.0
Katla's Farm                   : 0.0
Solitude Sawmill               : 0.0
Thalmor Embassy                : 0.0
Dragon Bridge Overlook         : 0.0
Haafingar Stormcloak Camp      : 0.0
Solitude Military Camp         : 0.0
Brinewater Grotto              : 0.0
Broken Oar Grotto              : 0.0
Lost Echo Cave                 : 0.0
Lower Steepfall Burrow         : 0.0
Pinemoon Cave                  : 0.0
Ravenscar Hollow               : 0.0
Rimerock Burrow                : 0.0
Shadowgreen Cavern             : 0.0
Steepfall Burrow               : 0.0
Wolfskull Cave                 : 0.0
Volskygge                      : 0.0
Fort Hraggstad                 : 0.0
Northwatch Keep                : 0.0
Pinefrost Tower                : 0.0
Widow's Watch Ruins            : 0.0
Statue to Meridia              : 0.0
The Steed Stone                : 0.0
Clearpine Pond                 : 0.0
Dainty Sload                   : 0.0
Orphan's Tear                  : 0.0
Solitude Lighthouse            : 0.0
Crabber's Shanty               : 0.0
Meeko's Shack                  : 0.0
Stonehills                     : 0.0
Hjaalmarch Imperial Camp       : 0.0
Hjaalmarch Stormcloak Camp     : 0.0
Robber's Gorge                 : 0.0
Talking Stone Camp             : 0.0
Brood Cavern                   : 0.0
Chillwind Depths               : 0.0
Movarth's Lair                 : 0.0
Orotheim                       : 0.0
Eldersblood Peak               : 0.0
Skyborn Altar                  : 0.0
Dead Men's Respite             : 0.0
Folgunthur                     : 0.0
Kjenstag Ruins                 : 0.0
Labyrinthian                   : 0.0
Lost Valkygg                   : 0.0
Mzinchaleft                    : 0.0
Ustengrav                      : 0.0
Fort Snowhawk                  : 0.0
The Apprentice Stone           : 0.0
The Lord Stone                 : 0.0
Great Lift at Mzinchaleft      : 0.0
Wreck of the Icerunner         : 0.0
Hall of the Vigilant           : 0.0
Loreius Farm                   : 0.0
Blizzard Rest                  : 0.0
Pale Imperial Camp             : 0.0
Pale Stormcloak Camp           : 0.0
Red Road Pass                  : 0.0
Stonehill Bluff                : 0.0
Tumble Arch Pass               : 0.0
Bronze Water Cave              : 0.0
Duskglow Crevice               : 0.0
Forsaken Cave                  : 0.0
Shearpoint                     : 0.0
Frostmere Crypt                : 0.0
High Gate Ruins                : 0.0
Irkngthand                     : 0.0
Korvanjund                     : 0.0
Silverdrift Lair               : 0.0
Tower of Mzark                 : 0.0
Windward Ruins                 : 0.0
Yorgrim Overlook               : 0.0
Shrine of Mehrunes Dagon       : 0.0
Fort Dunstad                   : 0.0
Nightcaller Temple             : 0.0
Great Lift at Raldbthar        : 0.0
Shrouded Grove                 : 0.0
Weynon Stones                  : 0.0
