Report Generated 2025-05-03 17:26:50.735128

Basic Analytics

389 nodes, 1675 edges
graph density 0.022195425754644477
1 isolated node(s) (0.26% isolated)
1 nontrivial connected component(s)
nontrivial component size(s): 388 

Locations                      : Weight
Solitude                       : 109.4
Whiterun                       : 105.4
Dark Brotherhood Sanctuary     : 83.0
Windhelm                       : 74.4
Riften                         : 57.4
Thieves Guild                  : 52.0
Throat of the World            : 46.0
High Hrothgar                  : 43.0
Markarth                       : 42.4
Sky Haven Temple               : 32.0
Dragonsreach                   : 31.0
Riverwood                      : 31.0
Dawnstar                       : 31.0
College of Winterhold          : 29.1
Falkreath                      : 25.1
Blue Palace                    : 23.0
Nightgate Inn                  : 23.0
Dragon Bridge                  : 22.0
Ivarstead                      : 22.0
Morthal                        : 21.0
Fort Dunstad                   : 19.0
Mistveil Keep                  : 19.0
East Empire Company Warehouse  : 18.0
Winterhold                     : 18.0
Thalmor Embassy                : 17.0
Fort Snowhawk                  : 17.0
Dawnstar Sanctuary             : 17.0
Pale Imperial Camp             : 17.0
Korvanjund                     : 17.0
Tower of Mzark                 : 17.0
Western Watchtower             : 17.0
Alftand                        : 17.0
Fort Hraggstad                 : 16.0
Abandoned Shack                : 16.0
Windward Ruins                 : 16.0
Honningbrew Meadery            : 16.0
Wolfskull Cave                 : 15.1
Hjaalmarch Stormcloak Camp     : 15.0
Goldenglow Estate              : 15.0
Graywinter Watch               : 15.0
Gallows Rock                   : 14.2
Knifepoint Ridge               : 14.2
Saarthal                       : 14.1
Fort Neugrad                   : 14.0
Four Skull Lookout             : 14.0
Fort Sungard                   : 14.0
Rift Imperial Camp             : 14.0
Nightingale Hall               : 14.0
Fort Greenwall                 : 14.0
Kynesgrove                     : 14.0
Eastmarch Imperial Camp        : 13.0
The Katariah                   : 13.0
Dead Men's Respite             : 13.0
Ustengrav                      : 13.0
Fort Greymoor                  : 13.0
Forsaken Cave                  : 12.5
Falkreath Imperial Camp        : 12.0
The Guardian Stones            : 12.0
Haafingar Stormcloak Camp      : 12.0
Pale Stormcloak Camp           : 12.0
Reachwater Rock                : 12.0
Snow-Shod Farm                 : 12.0
Rift Stormcloak Camp           : 12.0
Battle-Born Farm               : 12.0
Septimus Signus's Outpost      : 12.0
Blackreach                     : 12.0
Stony Creek Cave               : 11.2
Fort Amol                      : 11.0
Bleak Falls Barrow             : 11.0
Statue to Meridia              : 11.0
Hjaalmarch Imperial Camp       : 11.0
Mzinchaleft                    : 11.0
Stonehill Bluff                : 11.0
Raldbthar                      : 11.0
Reach Stormcloak Camp          : 11.0
Geirmund's Hall                : 11.0
Pelagia Farm                   : 11.0
Understone Keep                : 11.0
Uttering Hills Cave            : 10.3
Fellglow Keep                  : 10.1
Snow Veil Sanctum              : 10.1
Broken Fang Cave               : 10.0
Potema's Catacombs             : 10.0
Hlaalu Farm                    : 10.0
Hollyfrost Farm                : 10.0
Windhelm Military Camp         : 10.0
Folgunthur                     : 10.0
Loreius Farm                   : 10.0
Karthwasten                    : 10.0
Karthspire                     : 10.0
