Report Generated 2025-05-04 13:59:28.796345

Basic Analytics

386 nodes, 1350 edges
graph density 0.018168360137272053
1 isolated node(s) (0.26% isolated)
1 nontrivial connected component(s)
nontrivial component size(s): 385 

Locations                      : Weight
Solitude                       : 39.0
Windhelm                       : 23.0
Blue Palace                    : 23.0
Riften                         : 22.0
Whiterun                       : 21.0
Dark Brotherhood Sanctuary     : 20.0
Falkreath                      : 17.1
Wolfskull Cave                 : 15.1
Markarth                       : 15.0
Windward Ruins                 : 15.0
Graywinter Watch               : 15.0
Knifepoint Ridge               : 14.2
Dawnstar                       : 14.0
Ivarstead                      : 14.0
Dead Men's Respite             : 13.0
Four Skull Lookout             : 13.0
Mistveil Keep                  : 13.0
Forsaken Cave                  : 12.5
The Guardian Stones            : 12.0
East Empire Company Warehouse  : 12.0
Snow-Shod Farm                 : 12.0
Nightingale Hall               : 12.0
Battle-Born Farm               : 12.0
Stony Creek Cave               : 11.2
College of Winterhold          : 11.1
Thalmor Embassy                : 11.0
Statue to Meridia              : 11.0
Mzinchaleft                    : 11.0
Fort Greymoor                  : 11.0
Broken Fang Cave               : 10.0
Potema's Catacombs             : 10.0
Hlaalu Farm                    : 10.0
Hollyfrost Farm                : 10.0
Windhelm Military Camp         : 10.0
Loreius Farm                   : 10.0
Karthwasten                    : 10.0
Karthspire                     : 10.0
Froki's Shack                  : 10.0
The Shadow Stone               : 10.0
Dragonsreach                   : 10.0
Bleakcoast Cave                : 10.0
Nightgate Inn                  : 10.0
Kilkreath Ruins                : 10.0
Red Eagle Redoubt              : 9.7
Morvunskar                     : 9.3
Blind Cliff Cave               : 9.2
Halldir's Cairn                : 9.1
Mixwater Mill                  : 9.0
Eldergleam Sanctuary           : 9.0
Rimerock Burrow                : 9.0
Fort Hraggstad                 : 9.0
Stonehill Bluff                : 9.0
Bronze Water Cave              : 9.0
Silverdrift Lair               : 9.0
Riften Stables                 : 9.0
Thieves Guild                  : 9.0
Goldenglow Estate              : 9.0
Merryfair Farm                 : 9.0
Chillfurrow Farm               : 9.0
Honningbrew Meadery            : 9.0
Aftershock Radiant Location 13 : 9.0
Aftershock Radiant Location 19 : 9.0
Understone Keep                : 9.0
Cragslane Cavern               : 8.9
Broken Tower Redoubt           : 8.7
Dwarven Storeroom              : 8.7
Hob's Fall Cave                : 8.2
White River Watch              : 8.2
Forelhost                      : 8.2
Falkreath Watchtower           : 8.1
Ironbind Barrow                : 8.1
North Shriekwind Bastion       : 8.1
Windhelm Stables               : 8.0
Brandy-Mug Farm                : 8.0
Darkwater Crossing             : 8.0
Sacellum of Boethiah           : 8.0
Roadside Ruins                 : 8.0
Evergreen Grove                : 8.0
Solitude Sawmill               : 8.0
Haafingar Stormcloak Camp      : 8.0
Solitude Military Camp         : 8.0
Lost Echo Cave                 : 8.0
The Steed Stone                : 8.0
Stonehills                     : 8.0
Wreck of the Icerunner         : 8.0
Tower of Mzark                 : 8.0
Shrine of Mehrunes Dagon       : 8.0
Karthspire Camp                : 8.0
Kolskeggr Mine                 : 8.0
Sky Haven Temple               : 8.0
Whiterun Stables               : 8.0
Pelagia Farm                   : 8.0
The Ritual Stone               : 8.0
Mount Anthor                   : 8.0
Alftand                        : 8.0
Great Lift at Alftand          : 8.0
Wayward Pass                   : 8.0
Aftershock Radiant Location 1  : 8.0
Aftershock Radiant Location 16 : 8.0
Bruca's Leap Redoubt           : 7.7
Shor's Stone                   : 7.7
Cragwallow Slope               : 7.6
Ansilvund                      : 7.5
Cronvangr Cave                 : 7.5
Harmugstahl                    : 7.4
Broken Oar Grotto              : 7.3
Steepfall Burrow               : 7.3
Red Road Pass                  : 7.3
Shrouded Grove                 : 7.3
Rebel's Cairn                  : 7.3
Uttering Hills Cave            : 7.3
Cracked Tusk Keep              : 7.2
Traitor's Post                 : 7.2
Brood Cavern                   : 7.1
Ilinalta's Deep                : 7.1
South Shriekwind Bastion       : 7.1
Broken Helm Hollow             : 7.1
Kynesgrove                     : 7.0
Cradlecrush Rock               : 7.0
Eastmarch Imperial Camp        : 7.0
Abandoned Prison               : 7.0
Half-Moon Mill                 : 7.0
Hunter's Rest                  : 7.0
Falkreath Imperial Camp        : 7.0
Ironback Hideout               : 7.0
Katla's Farm                   : 7.0
Lower Steepfall Burrow         : 7.0
Widow's Watch Ruins            : 7.0
Clearpine Pond                 : 7.0
The Katariah                   : 7.0
Abandoned Shack                : 7.0
Hjaalmarch Stormcloak Camp     : 7.0
Ustengrav                      : 7.0
Great Lift at Mzinchaleft      : 7.0
Hall of the Vigilant           : 7.0
Pale Stormcloak Camp           : 7.0
Frostmere Crypt                : 7.0
Irkngthand                     : 7.0
Weynon Stones                  : 7.0
Cliffside Retreat              : 7.0
Reach Stormcloak Camp          : 7.0
Reachwater Rock                : 7.0
Soljund's Sinkhole             : 7.0
Shrine to Peryite              : 7.0
Sundered Towers                : 7.0
Rift Stormcloak Camp           : 7.0
Crystaldrift Cave              : 7.0
Drelas' Cottage                : 7.0
Whiterun Military Camp         : 7.0
Western Watchtower             : 7.0
Aftershock Radiant Location 2  : 7.0
Aftershock Radiant Location 3  : 7.0
Aftershock Radiant Location 5  : 7.0
Aftershock Radiant Location 11 : 7.0
Aftershock Radiant Location 23 : 7.0
Shrine of Talos                : 7.0
Winterhold                     : 7.0
Mzulft                         : 6.7
Hillgrund's Tomb               : 6.5
Tumble Arch Pass               : 6.3
Embershard Mine                : 6.3
Bilegulch Mine                 : 6.2
Bannermist Tower               : 6.2
Redoran's Retreat              : 6.2
Volskygge                      : 6.2
High Gate Ruins                : 6.2
Moss Mother Cavern             : 6.1
Darklight Tower                : 6.1
Mara's Eye Pond                : 6.1
Northwatch Keep                : 6.1
Fellglow Keep                  : 6.1
Snow Veil Sanctum              : 6.1
Yngol Barrow                   : 6.1
Autumnshade Clearing           : 6.1
Rannveig's Fast                : 6.1
Pinemoon Cave                  : 6.0
Movarth's Lair                 : 6.0
Palace of the Kings            : 6.0
Riverside Shack                : 6.0
Snapleg Cave                   : 6.0
Bonestrewn Crest               : 6.0
Fort Amol                      : 6.0
Bonechill Passage              : 6.0
Greywater Grotto               : 6.0
The Lady Stone                 : 6.0
Pinefrost Tower                : 6.0
Solitude Lighthouse            : 6.0
Morthal                        : 6.0
Hjaalmarch Imperial Camp       : 6.0
The Lord Stone                 : 6.0
Korvanjund                     : 6.0
Raldbthar                      : 6.0
Yorgrim Overlook               : 6.0
Fort Dunstad                   : 6.0
Salvius Farm                   : 6.0
Liar's Retreat                 : 6.0
Reachcliff Cave                : 6.0
Left Hand Mine                 : 6.0
Sarethi Farm                   : 6.0
Honeystrand Cave               : 6.0
Lost Tongue Overlook           : 6.0
Geirmund's Hall                : 6.0
Nilheim                        : 6.0
Rift Watchtower                : 6.0
Shor's Watchtower              : 6.0
South Cold Rock Pass           : 6.0
Gjukar's Monument              : 6.0
Stillborn Cave                 : 6.0
Aftershock Radiant Location 9  : 6.0
Aftershock Radiant Location 14 : 6.0
Aftershock Radiant Location 15 : 6.0
Aftershock Radiant Location 20 : 6.0
Aftershock Radiant Location 26 : 6.0
North Skybound Watch           : 6.0
