Report Generated 2025-05-03 16:48:56.458710

Stochastic Columm Sums

College of Winterhold          : 2.00
Orotheim                       : 1.93
Hag Rock Redoubt               : 1.70
Fort Neugrad                   : 1.62
Reach Imperial Camp            : 1.62
Battle-Born Farm               : 1.60
Falkreath Stormcloak Camp      : 1.58
Gloomreach                     : 1.58
Thalmor Embassy                : 1.54
Drelas' Cottage                : 1.53
Ancient's Ascent               : 1.53
Aftershock Radiant Location 9  : 1.53
Western Watchtower             : 1.52
Bilegulch Mine                 : 1.51
The Serpent Stone              : 1.50
Embershard Mine                : 1.49
Mixwater Mill                  : 1.47
Nightingale Hall               : 1.47
Pinefrost Tower                : 1.47
Stillborn Cave                 : 1.47
Snow-Shod Farm                 : 1.45
The Tower Stone                : 1.45
Windhelm Military Camp         : 1.44
Mount Anthor                   : 1.44
Brood Cavern                   : 1.43
Knifepoint Ridge               : 1.41
Ansilvund                      : 1.41
Cliffside Retreat              : 1.40
Uttering Hills Cave            : 1.40
Alchemist's Shack              : 1.40
Redoran's Retreat              : 1.40
Falkreath                      : 1.38
Silverdrift Lair               : 1.36
Hlaalu Farm                    : 1.36
Hollyfrost Farm                : 1.36
Cragwallow Slope               : 1.36
Hillgrund's Tomb               : 1.35
Falkreath Imperial Camp        : 1.34
Graywinter Watch               : 1.34
The Ritual Stone               : 1.34
Geirmund's Hall                : 1.33
Rift Stormcloak Camp           : 1.33
Fort Hraggstad                 : 1.33
Four Skull Lookout             : 1.33
Karthspire                     : 1.33
Abandoned Prison               : 1.32
Bleak Falls Barrow             : 1.32
Aftershock Radiant Location 5  : 1.30
Snow Veil Sanctum              : 1.30
Statue to Meridia              : 1.30
Bruca's Leap Redoubt           : 1.30
Morvunskar                     : 1.29
Eldergleam Sanctuary           : 1.29
Aftershock Radiant Location 19 : 1.29
Nightgate Inn                  : 1.29
East Empire Company Warehouse  : 1.28
Left Hand Mine                 : 1.28
Black Briar Lodge              : 1.28
Black-Briar Lodge              : 1.28
Cragslane Cavern               : 1.28
Rimerock Burrow                : 1.28
Stonehills                     : 1.28
Reachwater Rock                : 1.28
Honeystrand Cave               : 1.27
Aftershock Radiant Location 3  : 1.25
North Skybound Watch           : 1.25
Pilgrim's Trench               : 1.25
Yngvild                        : 1.25
Harmugstahl                    : 1.25
Goldenglow Estate              : 1.24
Bronze Water Cave              : 1.24
Rebel's Cairn                  : 1.22
Eastmarch Imperial Camp        : 1.22
Shor's Watchtower              : 1.22
Abandoned Shack                : 1.22
Dark Brotherhood Sanctuary     : 1.22
Roadside Ruins                 : 1.22
Lost Echo Cave                 : 1.22
Blind Cliff Cave               : 1.21
Aftershock Radiant Location 11 : 1.21
North Shriekwind Bastion       : 1.21
Greywater Grotto               : 1.21
Bloated Man's Grotto           : 1.20
Fort Snowhawk                  : 1.20
Cradle Stone Tower             : 1.20
Frostflow Lighthouse           : 1.20
Aftershock Radiant Location 2  : 1.19
Aftershock Radiant Location 13 : 1.19
Dwarven Storeroom              : 1.19
Mzinchaleft                    : 1.19
Hjaalmarch Stormcloak Camp     : 1.19
Cradlecrush Rock               : 1.19
Weynon Stones                  : 1.19
Autumnshade Clearing           : 1.19
Aftershock Radiant Location 26 : 1.18
Dead Men's Respite             : 1.18
Dushnikh Yal                   : 1.18
Solitude Sawmill               : 1.17
The Katariah                   : 1.17
Bthardamz                      : 1.17
Angarvunde                     : 1.17
Heartwood Mill                 : 1.17
Broken Fang Cave               : 1.17
Ustengrav                      : 1.16
Evergreen Grove                : 1.16
The Shadow Stone               : 1.16
Bonechill Passage              : 1.16
Reachcliff Cave                : 1.16
Sightless Pit                  : 1.16
Cronvangr Cave                 : 1.15
South Cold Rock Pass           : 1.15
Rannveig's Fast                : 1.15
Aftershock Radiant Location 25 : 1.15
Fellglow Keep                  : 1.15
Rift Imperial Camp             : 1.15
Ruins of Bthalft               : 1.15
Irkngthand                     : 1.15
Ilinalta's Deep                : 1.14
Soljund's Sinkhole             : 1.14
Volskygge                      : 1.13
Yorgrim Overlook               : 1.13
High Gate Ruins                : 1.13
Aftershock Radiant Location 1  : 1.13
Lost Valkygg                   : 1.13
Chillfurrow Farm               : 1.12
Honningbrew Meadery            : 1.12
Lower Steepfall Burrow         : 1.12
Steepfall Burrow               : 1.12
Halted Stream Camp             : 1.12
Red Eagle Redoubt              : 1.11
Hunter's Rest                  : 1.11
Red Road Pass                  : 1.10
Reach Stormcloak Camp          : 1.10
Fort Dunstad                   : 1.10
Raldbthar                      : 1.10
Shrine to Peryite              : 1.10
Hall of the Vigilant           : 1.10
Rift Watchtower                : 1.09
Half-Moon Mill                 : 1.09
Druadach Redoubt               : 1.09
The Lady Stone                 : 1.09
Salvius Farm                   : 1.09
Snapleg Cave                   : 1.09
Wolfskull Cave                 : 1.09
Windhelm Stables               : 1.09
White River Watch              : 1.09
Widow's Watch Ruins            : 1.09
Riften Stables                 : 1.09
