Report Generated 2025-05-03 17:26:50.827796

Stochastic Columm Sums

College of Winterhold          : 25.29
Dawnstar                       : 11.73
Falkreath                      : 10.02
Whiterun                       : 8.31
Solitude                       : 8.07
Winterhold                     : 7.98
Markarth                       : 7.51
Windhelm                       : 7.03
Riften                         : 6.05
Understone Keep                : 5.57
Ivarstead                      : 3.31
Dark Brotherhood Sanctuary     : 2.94
Blue Palace                    : 2.92
Dushnikh Yal                   : 2.52
Old Hroldan Inn                : 2.48
Mor Khazgur                    : 2.19
Darkwater Crossing             : 2.05
Knifepoint Ridge               : 1.98
Windward Ruins                 : 1.75
Kynesgrove                     : 1.21
Morthal                        : 1.07
Fort Greymoor                  : 1.03
Narzulbur                      : 1.01
Broken Helm Hollow             : 1.01
Kilkreath Ruins                : 1.00
Septimus Signus's Outpost      : 1.00
Alftand                        : 1.00
Blackreach                     : 1.00
Left Hand Mine                 : 1.00
Kolskeggr Mine                 : 1.00
Shrine to Peryite              : 1.00
Bthardamz                      : 1.00
Fallowstone Cave               : 1.00
Giant's Grove                  : 1.00
Largashbur                     : 1.00
Tower of Mzark                 : 1.00
Statue to Meridia              : 1.00
Karthwasten                    : 0.96
Heartwood Mill                 : 0.94
Broken Fang Cave               : 0.94
The Guardian Stones            : 0.94
Loreius Farm                   : 0.94
Froki's Shack                  : 0.94
Graywinter Watch               : 0.94
Bleakcoast Cave                : 0.94
Dead Men's Respite             : 0.86
Shor's Stone                   : 0.81
Dead Crone Rock                : 0.78
Wolfskull Cave                 : 0.77
Cracked Tusk Keep              : 0.76
Broken Oar Grotto              : 0.74
Shrine of Mehrunes Dagon       : 0.72
Druadach Redoubt               : 0.71
Ilinalta's Deep                : 0.68
Broken Tower Redoubt           : 0.67
Forsaken Cave                  : 0.66
Shrine of Azura                : 0.64
Morvunskar                     : 0.63
Stony Creek Cave               : 0.62
Haemar's Shame                 : 0.61
Rimerock Burrow                : 0.60
Solitude Lighthouse            : 0.60
Wreck of the Icerunner         : 0.60
Stonehill Bluff                : 0.59
Throat of the World            : 0.59
Dragonsreach                   : 0.58
Orphan Rock                    : 0.58
Eldergleam Sanctuary           : 0.58
Four Skull Lookout             : 0.54
North Skybound Watch           : 0.54
South Brittleshin Pass         : 0.52
North Brittleshin Pass         : 0.52
South Shriekwind Bastion       : 0.50
North Shriekwind Bastion       : 0.50
Salvius Farm                   : 0.50
Rorikstead                     : 0.47
Swindler's Den                 : 0.44
Deep Folk Crossing             : 0.41
Ruins of Bthalft               : 0.41
Mzulft                         : 0.41
Dwarven Storeroom              : 0.41
Mzinchaleft                    : 0.38
Lost Knife Hideout             : 0.38
Uttering Hills Cave            : 0.38
Gjukar's Monument              : 0.37
Movarth's Lair                 : 0.34
Mistveil Keep                  : 0.33
East Empire Company Warehouse  : 0.31
Cragwallow Slope               : 0.31
Ansilvund                      : 0.30
Cronvangr Cave                 : 0.29
Potema's Catacombs             : 0.29
Hob's Fall Cave                : 0.28
Cragslane Cavern               : 0.27
Halldir's Cairn                : 0.26
Darkwater Pass                 : 0.26
Shrine of Talos                : 0.25
Bruca's Leap Redoubt           : 0.25
Red Eagle Redoubt              : 0.25
Deepwood Redoubt               : 0.25
Hag Rock Redoubt               : 0.25
Gallows Rock                   : 0.20
Markarth Stables               : 0.20
Nightcaller Temple             : 0.18
Harmugstahl                    : 0.17
Rebel's Cairn                  : 0.16
Dragontooth Crater             : 0.15
Dustman's Cairn                : 0.15
Japhet's Folly                 : 0.15
Bloated Man's Grotto           : 0.12
Sacellum of Boethiah           : 0.12
Bloodlet Throne                : 0.11
Hela's Folly                   : 0.10
Shroud Hearth Barrow           : 0.10
High Hrothgar                  : 0.10
Reachcliff Cave                : 0.09
Fort Sungard                   : 0.09
