Report Generated 2025-05-04 13:59:28.817499

Stochastic Columm Sums

Solitude                       : 3.69
Windhelm                       : 2.93
Falkreath                      : 2.87
Dawnstar                       : 2.85
College of Winterhold          : 2.79
Whiterun                       : 2.67
Riften                         : 2.58
Dark Brotherhood Sanctuary     : 2.30
Ivarstead                      : 2.24
Markarth                       : 2.23
Knifepoint Ridge               : 2.16
Graywinter Watch               : 1.85
Blue Palace                    : 1.84
Orotheim                       : 1.80
Dead Men's Respite             : 1.64
Alftand                        : 1.61
Four Skull Lookout             : 1.58
Tower of Mzark                 : 1.57
Windward Ruins                 : 1.56
The Guardian Stones            : 1.55
Rimerock Burrow                : 1.54
Drelas' Cottage                : 1.52
Gloomreach                     : 1.50
Stillborn Cave                 : 1.46
Wolfskull Cave                 : 1.46
Eldergleam Sanctuary           : 1.45
Forsaken Cave                  : 1.45
Broken Fang Cave               : 1.45
Fort Neugrad                   : 1.43
Morvunskar                     : 1.42
Battle-Born Farm               : 1.42
Bilegulch Mine                 : 1.42
Dushnikh Yal                   : 1.41
Fallowstone Cave               : 1.40
Reach Imperial Camp            : 1.40
Mixwater Mill                  : 1.40
Embershard Mine                : 1.40
Ilinalta's Deep                : 1.37
Silverdrift Lair               : 1.36
Cragwallow Slope               : 1.35
Ansilvund                      : 1.35
Snow-Shod Farm                 : 1.35
Statue to Meridia              : 1.34
Bruca's Leap Redoubt           : 1.34
Thalmor Embassy                : 1.33
Darkwater Crossing             : 1.33
Nightingale Hall               : 1.32
Brood Cavern                   : 1.32
Cliffside Retreat              : 1.31
Largashbur                     : 1.31
Cragslane Cavern               : 1.30
Karthwasten                    : 1.29
Western Watchtower             : 1.29
Understone Keep                : 1.29
Mzinchaleft                    : 1.28
Stonehill Bluff                : 1.28
Fort Hraggstad                 : 1.28
Shor's Stone                   : 1.28
Rift Stormcloak Camp           : 1.28
Hillgrund's Tomb               : 1.27
Bleakcoast Cave                : 1.27
Froki's Shack                  : 1.26
Stony Creek Cave               : 1.26
Aftershock Radiant Location 19 : 1.26
The Tower Stone                : 1.25
Pilgrim's Trench               : 1.25
Uttering Hills Cave            : 1.25
Mistveil Keep                  : 1.25
Shrine of Mehrunes Dagon       : 1.24
Karthspire                     : 1.24
Redoran's Retreat              : 1.24
North Skybound Watch           : 1.23
Cracked Tusk Keep              : 1.23
Pinefrost Tower                : 1.23
Windhelm Military Camp         : 1.23
Nightgate Inn                  : 1.22
Falkreath Imperial Camp        : 1.22
Stonehills                     : 1.22
Aftershock Radiant Location 3  : 1.22
Hlaalu Farm                    : 1.21
Hollyfrost Farm                : 1.21
Rebel's Cairn                  : 1.21
Loreius Farm                   : 1.21
Greywater Grotto               : 1.21
Abandoned Prison               : 1.20
Broken Tower Redoubt           : 1.20
Bronze Water Cave              : 1.19
Bleak Falls Barrow             : 1.19
Mount Anthor                   : 1.19
East Empire Company Warehouse  : 1.19
Shrine to Peryite              : 1.19
Red Eagle Redoubt              : 1.19
Cronvangr Cave                 : 1.18
Aftershock Radiant Location 5  : 1.17
Aftershock Radiant Location 13 : 1.17
The Ritual Stone               : 1.17
Black Briar Lodge              : 1.17
Autumnshade Clearing           : 1.17
Wreck of the Icerunner         : 1.17
Bloated Man's Grotto           : 1.16
Harmugstahl                    : 1.16
Bonechill Passage              : 1.16
Rannveig's Fast                : 1.16
Aftershock Radiant Location 2  : 1.15
Cradle Stone Tower             : 1.15
South Cold Rock Pass           : 1.15
Reachwater Rock                : 1.14
Dwarven Storeroom              : 1.14
Irkngthand                     : 1.14
Broken Helm Hollow             : 1.14
Lost Echo Cave                 : 1.14
Fort Greymoor                  : 1.14
Hjaalmarch Stormcloak Camp     : 1.14
Aftershock Radiant Location 11 : 1.13
Cradlecrush Rock               : 1.13
Rift Imperial Camp             : 1.13
Kilkreath Ruins                : 1.12
Alchemist's Shack              : 1.12
Ustengrav                      : 1.12
Blind Cliff Cave               : 1.12
Goldenglow Estate              : 1.11
Aftershock Radiant Location 1  : 1.10
Shor's Watchtower              : 1.10
Geirmund's Hall                : 1.10
Druadach Redoubt               : 1.10
Aftershock Radiant Location 26 : 1.10
Bthardamz                      : 1.10
Hob's Fall Cave                : 1.10
