Report Generated 2025-05-04 13:59:29.219327

Stochastic Columm Sums

Thieves Guild                  : 4.66
College of Winterhold          : 2.00
Orotheim                       : 1.93
Hag Rock Redoubt               : 1.70
Fort Neugrad                   : 1.62
Reach Imperial Camp            : 1.62
Snow Veil Sanctum              : 1.61
Falkreath Stormcloak Camp      : 1.58
Gloomreach                     : 1.58
Drelas' Cottage                : 1.53
Ancient's Ascent               : 1.53
Solitude                       : 1.53
East Empire Company Warehouse  : 1.52
Bilegulch Mine                 : 1.51
The Serpent Stone              : 1.50
Embershard Mine                : 1.49
Battle-Born Farm               : 1.48
Mixwater Mill                  : 1.47
Nightingale Hall               : 1.47
Irkngthand                     : 1.47
Pinefrost Tower                : 1.47
Uttering Hills Cave            : 1.46
Western Watchtower             : 1.45
Aftershock Radiant Location 9  : 1.44
Mount Anthor                   : 1.44
Windhelm Military Camp         : 1.43
Brood Cavern                   : 1.43
Thalmor Embassy                : 1.43
Ansilvund                      : 1.41
Cliffside Retreat              : 1.40
Stillborn Cave                 : 1.40
Alchemist's Shack              : 1.40
Redoran's Retreat              : 1.40
Goldenglow Estate              : 1.40
Falkreath                      : 1.38
Silverdrift Lair               : 1.36
Cragwallow Slope               : 1.36
Hillgrund's Tomb               : 1.35
Honningbrew Meadery            : 1.35
Hlaalu Farm                    : 1.35
Hollyfrost Farm                : 1.35
Falkreath Imperial Camp        : 1.34
Graywinter Watch               : 1.34
The Ritual Stone               : 1.34
Yngvild                        : 1.34
Geirmund's Hall                : 1.33
Rift Stormcloak Camp           : 1.33
Fort Hraggstad                 : 1.33
Four Skull Lookout             : 1.33
Karthspire                     : 1.33
Abandoned Prison               : 1.32
Bleak Falls Barrow             : 1.32
Whiterun                       : 1.31
Riften                         : 1.30
Statue to Meridia              : 1.30
Bruca's Leap Redoubt           : 1.30
Eldergleam Sanctuary           : 1.29
Nightgate Inn                  : 1.29
Black Briar Lodge              : 1.28
Black-Briar Lodge              : 1.28
Cragslane Cavern               : 1.28
Rimerock Burrow                : 1.28
Stonehills                     : 1.28
Reachwater Rock                : 1.28
Honeystrand Cave               : 1.27
Aftershock Radiant Location 3  : 1.25
North Skybound Watch           : 1.25
Pilgrim's Trench               : 1.25
Harmugstahl                    : 1.25
Morvunskar                     : 1.24
Snow-Shod Farm                 : 1.24
Aftershock Radiant Location 19 : 1.23
Rebel's Cairn                  : 1.22
Eastmarch Imperial Camp        : 1.22
Shor's Watchtower              : 1.22
Abandoned Shack                : 1.22
Dark Brotherhood Sanctuary     : 1.22
Roadside Ruins                 : 1.22
Lost Echo Cave                 : 1.22
Blind Cliff Cave               : 1.21
Aftershock Radiant Location 11 : 1.21
Aftershock Radiant Location 5  : 1.21
Greywater Grotto               : 1.21
Bronze Water Cave              : 1.21
Bloated Man's Grotto           : 1.20
Fort Snowhawk                  : 1.20
Cradle Stone Tower             : 1.20
Frostflow Lighthouse           : 1.20
Aftershock Radiant Location 2  : 1.19
Dwarven Storeroom              : 1.19
Mzinchaleft                    : 1.19
Hjaalmarch Stormcloak Camp     : 1.19
Cradlecrush Rock               : 1.19
Weynon Stones                  : 1.19
Aftershock Radiant Location 26 : 1.18
Dead Men's Respite             : 1.18
Dushnikh Yal                   : 1.18
Dainty Sload                   : 1.17
Bthardamz                      : 1.17
Angarvunde                     : 1.17
Heartwood Mill                 : 1.17
Broken Fang Cave               : 1.17
Ustengrav                      : 1.16
Knifepoint Ridge               : 1.16
Evergreen Grove                : 1.16
Aftershock Radiant Location 13 : 1.16
Reachcliff Cave                : 1.16
Sightless Pit                  : 1.16
Cronvangr Cave                 : 1.15
South Cold Rock Pass           : 1.15
Rannveig's Fast                : 1.15
Aftershock Radiant Location 25 : 1.15
Fellglow Keep                  : 1.15
Rift Imperial Camp             : 1.15
Ruins of Bthalft               : 1.15
The Tower Stone                : 1.15
Ilinalta's Deep                : 1.14
Autumnshade Clearing           : 1.14
Soljund's Sinkhole             : 1.14
Volskygge                      : 1.13
Yorgrim Overlook               : 1.13
High Gate Ruins                : 1.13
Aftershock Radiant Location 1  : 1.13
Lost Valkygg                   : 1.13
Lower Steepfall Burrow         : 1.12
Steepfall Burrow               : 1.12
North Shriekwind Bastion       : 1.12
Halted Stream Camp             : 1.12
Red Eagle Redoubt              : 1.11
Hunter's Rest                  : 1.11
Red Road Pass                  : 1.10
Reach Stormcloak Camp          : 1.10
Fort Dunstad                   : 1.10
Shrine to Peryite              : 1.10
Hall of the Vigilant           : 1.10
Rift Watchtower                : 1.09
Half-Moon Mill                 : 1.09
Druadach Redoubt               : 1.09
The Lady Stone                 : 1.09
Snapleg Cave                   : 1.09
Wolfskull Cave                 : 1.09
Widow's Watch Ruins            : 1.09
Kilkreath Ruins                : 1.09
Nightcaller Temple             : 1.08
Windhelm Stables               : 1.08
Great Lift at Mzinchaleft      : 1.08
Bonestrewn Crest               : 1.08
Wayward Pass                   : 1.08
Falkreath Watchtower           : 1.08
Fort Amol                      : 1.07
Bonechill Passage              : 1.07
Left Hand Mine                 : 1.07
Sacellum of Boethiah           : 1.07
Aftershock Radiant Location 6  : 1.07
Stonehill Bluff                : 1.07
Autumnwatch Tower              : 1.07
Aftershock Radiant Location 16 : 1.06
Sarethi Farm                   : 1.06
Nilheim                        : 1.06
Chillwind Depths               : 1.06
Deepwood Redoubt               : 1.06
Aftershock Radiant Location 20 : 1.06
Solitude Sawmill               : 1.06
Haafingar Stormcloak Camp      : 1.06
Stony Creek Cave               : 1.05
Aftershock Radiant Location 15 : 1.05
Frostmere Crypt                : 1.05
White River Watch              : 1.04
Brandy-Mug Farm                : 1.04
Dawnstar                       : 1.03
Winterhold Imperial Camp       : 1.03
Serpent's Bluff Redoubt        : 1.03
Sky Haven Temple               : 1.03
The Lord Stone                 : 1.03
Forsaken Cave                  : 1.02
Shor's Stone                   : 1.02
Boulderfall Cave               : 1.02
Raldbthar                      : 1.02
The Steed Stone                : 1.01
Valtheim Towers                : 1.01
Aftershock Radiant Location 12 : 1.01
Blizzard Rest                  : 1.01
Whitewatch Tower               : 1.01
Aftershock Radiant Location 24 : 1.01
Bleakwind Basin                : 1.01
Karthwasten                    : 1.01
Chillfurrow Farm               : 1.00
Gjukar's Monument              : 1.00
Throat of the World            : 1.00
High Hrothgar                  : 1.00
Journeyman's Nook              : 1.00
Whistling Mine                 : 1.00
Aftershock Radiant Location 22 : 1.00
Liar's Retreat                 : 1.00
Markarth                       : 0.99
Great Lift at Alftand          : 0.99
